Date,STILag0,STILag1,SnP500,DowJones,UKFTSE,HSI,KLSE,CrudeOilSGD,SGMSCIFutures,US-SGD,EUR-SGD,GBP-SGD,JPY-SGD,USEFFR,SORA,Up1Down0
15/11/2010,3236.8,3252,1197.75,11201.97,5820.4,24027.17969,1501.56,110.2537,381,1.3056,1.7752,2.0915,0.0157,0.21,0.0882,0
16/11/2010,3212.1,3236.8,1178.34,11023.5,5681.9,23693.01953,1503.54,107.69076,377.2,1.3048,1.7716,2.0936,0.0156,0.21,0.0624,0
18/11/2010,3215.22,3212.1,1196.69,11181.23,5768.7,23637.39063,1496.65,107.55432,378.3,1.2956,1.7621,2.0696,0.0156,0.2,0.0663,1
19/11/2010,3197.37,3215.22,1199.73,11203.55,5732.8,23605.71094,1506.05,106.27053,375.8,1.2959,1.7686,2.0788,0.0155,0.21,0.0573,0
22/11/2010,3190.92,3197.37,1197.84,11178.58,5680.8,23524.01953,1503.2,106.40863,376.6,1.2992,1.7791,2.0718,0.0155,0.19,0.0643,0
23/11/2010,3126.3,3190.92,1180.73,11036.37,5581.3,22896.14063,1487.53,106.55314,367.5,1.3143,1.7661,2.0706,0.0157,0.2,0.0827,0
24/11/2010,3137.01,3126.3,1198.35,11187.28,5657.1,23023.85938,1488.54,110.0838,368.8,1.3066,1.7588,2.0757,0.0157,0.2,0.0769,1
26/11/2010,3158.08,3159.23,1189.4,11091.87,5668.7,22877.25,1492.05,110.68195,370.8,1.3198,1.7455,2.0619,0.0157,0.2,0.1507,1
29/11/2010,3158.21,3158.08,1187.76,11052.49,5551,23166.2207,1495.95,113.11558,372,1.3214,1.7449,2.0549,0.0157,0.2,0.2091,1
30/11/2010,3144.7,3158.21,1180.55,11006.02,5528.3,23007.99023,1485.23,110.71732,370.7,1.3204,1.7293,2.0534,0.0157,0.2,0.153,0
1/12/2010,3181.94,3144.7,1206.07,11255.78,5642.5,23249.80078,1485.42,113.63346,375,1.3106,1.7148,2.0555,0.0157,0.2,0.0588,1
2/12/2010,3197.96,3181.94,1221.53,11362.41,5767.6,23448.7793,1503.22,114.91002,376.8,1.3076,1.7194,2.045,0.0156,0.19,0.0676,1
3/12/2010,3172.44,3197.96,1224.71,11382.09,5745.3,23320.51953,1500.98,116.4988,374,1.3028,1.7266,2.0372,0.0157,0.18,0.0649,0
